Species,Family,Area Present,Area Future Optimistic,Area Future Pessimistic,IUCN category,Branch Length
Osteocephalus buckleyi,Hylidae,755187000000,14762604350,15211185444,Least Concern,2.250845967
Osteocephalus cabrerai,Hylidae,831784000000,36612715208,33109957684,Least Concern,7.440039206
Osteocephalus cannatellai,Hylidae,35402742684,410648000000,377840000000,Least Concern,1.683404042
Osteocephalus carri,Hylidae,20098387224,225746000000,202338000000,Least Concern,1.388337101
Osteocephalus castaneicola,Hylidae,210946000000,745930000000,683417000000,Least Concern,10.905476
Osteocephalus deridens,Hylidae,56077587830,177180000000,129771000000,Least Concern,5.513436316
Osteocephalus festae,Hylidae,29419702280,258254000000,250413000000,Least Concern,11.03525156
Osteocephalus fuscifacies,Hylidae,37329119370,797300000000,952988000000,Least Concern,5.513436316
Osteocephalus helenae,Hylidae,2088340000000,5916700000000,5885460000000,Least Concern,1.388337101
Osteocephalus leprieurii,Hylidae,3920180000000,73234006810,81403025160,Least Concern,12.85300249
Osteocephalus mimeticus,Hylidae,127422000000,31556913214,58168571708,Least Concern,14.50834927
Osteocephalus mutabor,Hylidae,52771315668,87140079658,70889174322,Least Concern,2.934645587
Osteocephalus oophagus,Hylidae,900759000000,712923000000,717435000000,Least Concern,6.328587294
Osteocephalus planiceps,Hylidae,456424000000,2799385802,2414736740,Least Concern,9.717248847
Osteocephalus subtilis,Hylidae,40755277798,1822340000000,1980300000000,Least Concern,7.379315673
Osteocephalus taurinus,Hylidae,5106010000000,297374000000,291050000000,Least Concern,6.328587294
Osteocephalus verruciger,Hylidae,4956430562,780853000000,741955000000,Least Concern,1.683404042
Osteocephalus vilarsi,Hylidae,18988397780,106074000000,106279000000,Least Concern,7.372963231
Osteocephalus yasuni,Hylidae,97490074380,30691120982,24252483044,Least Concern,12.85300249
Osteopilus dominicensis,Hylidae,56677694672,477139000000,520238000000,Least Concern,15.79692781
Osteopilus marianae,Hylidae,1869371926,42673637036,42673637036,Endangered,17.86615653
Osteopilus ocellatus,Hylidae,8740969570,16694014034,11654657542,Near Threatened,9.89821186
Osteopilus pulchrilineatus,Hylidae,29834481612,451860000000,446428000000,Vulnerable,15.79692781
Osteopilus septentrionalis,Hylidae,46876189846,451313000000,440544000000,Least Concern,28.17427746
Osteopilus vastus,Hylidae,22687788782,681199918,383187340,Vulnerable,30.91927431
Osteopilus wilderi,Hylidae,5813748794,33015450290,9170013806,Vulnerable,9.89821186
Peltophryne empusa,Bufonidae,11447277482,6656330200,21941887140,Least Concern,7.172383172
Peltophryne fustiger,Bufonidae,11934677636,11737451058,8886674830,Least Concern,4.40660822
Peltophryne guentheri,Bufonidae,18993715162,80280234210,83887731310,Least Concern,16.45586011
Peltophryne longinasus,Bufonidae,1740698106,41728279166,36886762448,Critically Endangered,10.3972395
Peltophryne peltocephala,Bufonidae,33294657446,117258000000,120460000000,Least Concern,2.17322348
Peltophryne taladai,Bufonidae,13668194144,222038000000,214948000000,Least Concern,11.78551749
Phyllodytes edelmoi,Hylidae,18448362366,4785841234,1601476892,Least Concern,7.309655402
Phyllodytes luteolus,Hylidae,30930408408,876112748,1987293108,Least Concern,3.85992317
Plectrohyla acanthodes,Hylidae,2704342076,15226879516,14588316586,Endangered,2.066193729
Plectrohyla avia,Hylidae,846983908,18850464920,16659568444,Endangered,2.481605526
Plectrohyla glandulosa,Hylidae,1319464210,1449170000000,1450380000000,Critically Endangered,8.890300967
Plectrohyla guatemalensis,Hylidae,27962097912,1931300000000,2001630000000,Near Threatened,2.950524834
Plectrohyla hartwegi,Hylidae,10863977908,8186707990,7719369770,Endangered,2.096361178
Plectrohyla ixil,Hylidae,3958392674,10424992424,7669376974,Vulnerable,8.290887513
Plectrohyla lacertosa,Hylidae,844106610,2857140000000,2946850000000,Endangered,2.481605526
Plectrohyla matudai,Hylidae,10816988526,29789436446,23193338830,Least Concern,6.533950638
Plectrohyla pokomchi,Hylidae,392334268,447915000000,436616000000,Endangered,3.387255463
Plectrohyla quecchi,Hylidae,2515351566,519078000000,552381000000,Endangered,0.666452281
Plectrohyla sagorum,Hylidae,5638491144,1485810000000,1510800000000,Vulnerable,6.336910581
Pseudacris cadaverina,Hylidae,16814139868,9173487940,6762785902,Least Concern,13.25819931
Pseudacris clarkii,Hylidae,461487330,175133000000,158374000000,Least Concern,0.250638441
Pseudacris crucifer,Hylidae,503158582,18562562318,20629092040,Least Concern,18.96681222
Pseudacris hypochondriaca,Hylidae,40548115164,20280344144,40050281554,Least Concern,13.25819931
Pseudis bolbodactyla,Hylidae,286740000000,936526000000,925023000000,Least Concern,9.332596779
Pseudis cardosoi,Hylidae,43376569744,74052736988,61490993396,Least Concern,2.097756206
Pseudis minuta,Hylidae,322371000000,5717020000000,5373900000000,Least Concern,2.097756206
Pseudis paradoxa,Hylidae,3235890000000,1436650000000,1436650000000,Least Concern,9.332596779
Pseudis platensis,Hylidae,641365000000,6686580000000,6995720000000,Least Concern,1.424386089
Ptychohyla euthysanota,Hylidae,17027878504,15207526544,15333963130,Least Concern,5.561532197
Ptychohyla hypomykter,Hylidae,10096827282,1729020000000,1633470000000,Vulnerable,7.823638794
Ptychohyla leonhardschultzei,Hylidae,5373802980,138021000000,147540000000,Least Concern,0.161892072
Ptychohyla macrotympanum,Hylidae,2476014858,443343000000,520907000000,Vulnerable,4.944428394
Ptychohyla zophodes,Hylidae,6821260570,21680506542,21839398180,Vulnerable,1.318155414
Quilticohyla acrochorda,Hylidae,122281672,616989000000,559070000000,Critically Endangered,4.944428394
Rhaebo blombergi,Bufonidae,17977880594,49392306448,34231765828,Critically Endangered,11.64587519
Rhaebo caeruleostictus,Bufonidae,36510735466,175198000000,179427000000,Critically Endangered,36.48592706
Rhaebo ecuadorensis,Bufonidae,188699000000,16267694404,7567602560,Least Concern,3.746202976
Rhaebo glaberrimus,Bufonidae,53337042792,244851000000,235640000000,Least Concern,3.746202976
Rhaebo guttatus,Bufonidae,5389750000000,4630890000000,4475370000000,Least Concern,6.415782534
Rhaebo haematiticus,Bufonidae,324637000000,1137300000000,1122670000000,Least Concern,24.19484981
Rhaebo hypomelas,Bufonidae,8331594818,95169272562,90722130808,Least Concern,1.096478748
Rhaebo nasicus,Bufonidae,47838101522,329335000000,325034000000,Least Concern,38.9067091
Rheohyla miotympanum,Hylidae,28242667438,393965000000,456749000000,Least Concern,NA
Rhinella achavali,Bufonidae,176059000000,19112086760,19324772406,Least Concern,2.37260284
Rhinella acutirostris,Bufonidae,261563000000,1796480000000,1923740000000,Least Concern,5.121348986
Rhinella alata,Bufonidae,42522255722,326828000000,332431000000,Least Concern,5.50294037
Rhinella arenarum,Bufonidae,1418460000000,376993000000,353825000000,Least Concern,4.481502475
Rhinella arunco,Bufonidae,42607786750,61203040256,53330086598,Near Threatened,5.674640622
Rhinella beebei,Bufonidae,393906000000,10917757648,470101266,Least Concern,NA
Rhinella bergi,Bufonidae,449286000000,21790492850,22252163416,Least Concern,0.840685129
Rhinella castaneotica,Bufonidae,2041140000000,144793000000,140493000000,Least Concern,9.814501772
Rhinella centralis,Bufonidae,12899123858,68720154266,71836845092,Least Concern,1.857783982
Rhinella crucifer,Bufonidae,773269000000,10398900000000,10428900000000,Least Concern,2.763803273
Rhinella dapsilis,Bufonidae,449836000000,62460969808,67394106654,Least Concern,1.177607871
Rhinella diptycha,Bufonidae,4005970000000,890482000000,937383000000,Least Concern,1.177607871
Rhinella dorbignyi,Bufonidae,475226000000,1769530000000,1819170000000,Least Concern,5.121348986
Rhinella festae,Bufonidae,44971621750,64819892834,68803610022,Least Concern,6.240327213
Rhinella granulosa,Bufonidae,1155640000000,93336657852,106050000000,Least Concern,3.465560001
Rhinella henseli,Bufonidae,186692000000,945131000000,814865000000,Least Concern,14.17182337
Rhinella hoogmoedi,Bufonidae,125769000000,12255632870,15969336264,Least Concern,2.43584643
Rhinella horribilis,Bufonidae,1579710000000,5514738660,5410253976,Least Concern,NA
Rhinella humboldti,Bufonidae,199997000000,2411390000000,2412350000000,Least Concern,0.09052325
Rhinella icterica,Bufonidae,451509000000,49766406754,63558956526,Least Concern,0.417374016
Rhinella limensis,Bufonidae,42627712826,6559644992,6965637132,Least Concern,6.244375479
Rhinella macrorhina,Bufonidae,2272950496,32400045192,32825954752,Vulnerable,1.418836611
Rhinella major,Bufonidae,2862180000000,840959226,18693706,Least Concern,1.944701989
Rhinella margaritifera,Bufonidae,5070730000000,459291000000,457879000000,Least Concern,1.827668652
Rhinella merianae,Bufonidae,295224000000,371630000000,383964000000,Least Concern,9.534480158
Rhinella mirandaribeiroi,Bufonidae,4107280000000,282885000000,278926000000,Least Concern,1.944701989
Rhinella nicefori,Bufonidae,657768202,17018698906,18422246476,Endangered,4.021092305
Rhinella ocellata,Bufonidae,1406060000000,4333390000000,4371300000000,Least Concern,2.680955856
Rhinella ornata,Bufonidae,178626000000,1043674720,0,Least Concern,0.795289144
Rhinella poeppigii,Bufonidae,413591000000,68953940728,70041810384,Least Concern,8.490444604
Rhinella proboscidea,Bufonidae,239544000000,321304000000,330683000000,Least Concern,7.352607646
Rhinella pygmaea,Bufonidae,26831853580,8612340000000,8775180000000,Least Concern,12.81345143
Rhinella roqueana,Bufonidae,257773000000,117750000000,111116000000,Least Concern,2.557822416
Rhinella rubescens,Bufonidae,380501000000,626851000000,633517000000,Least Concern,2.412768358
Rhinella ruizi,Bufonidae,3376470342,1474340000000,1455240000000,Vulnerable,1.200763949
Rhinella scitula,Bufonidae,161663000000,62444575258,47295874638,Least Concern,4.481502475
Rhinella spinulosa,Bufonidae,1141660000000,69536954730,49265750392,Least Concern,2.493531926
Rhinella stanlaii,Bufonidae,29234429750,159114000000,88788837610,Least Concern,5.640960667
Rhinella sternosignata,Bufonidae,16171864490,146105000000,150005000000,Least Concern,11.65899641
Rhinella veraguensis,Bufonidae,93623605686,40310033706,33671765296,Least Concern,2.725451001
Sarcohyla arborescandens,Hylidae,15155692248,163890000000,202034000000,Near Threatened,1.628050442
Sarcohyla bistincta,Hylidae,37979691682,141635000000,116897000000,Least Concern,5.441346139
Sarcohyla celata,Hylidae,285535718,287934000000,292611000000,Near Threatened,0.666452281
Sarcohyla charadricola,Hylidae,1042752248,357211000000,238518000000,Critically Endangered,0.735426742
Sarcohyla cyclada,Hylidae,4043799284,483388000000,483618000000,Vulnerable,1.628050442
Sarcohyla hapsa,Hylidae,34186048080,565100000000,537344000000,Least Concern,NA
Sarcohyla pentheter,Hylidae,6017138720,523135000000,536573000000,Vulnerable,2.312235754
Scarthyla goinorum,Hylidae,1218620000000,2443160000000,2475730000000,Least Concern,6.198039268
Scarthyla vigilans,Hylidae,175725000000,2214090000000,2223690000000,Least Concern,6.198039268
Scinax acuminatus,Hylidae,630145000000,64723353538,64724282488,Least Concern,17.39957575
Scinax agilis,Hylidae,60240481630,995229000000,894584000000,Least Concern,4.144019275
Scinax altae,Hylidae,11548877488,30756867314,27365825972,Least Concern,17.1723887
Scinax alter,Hylidae,157054000000,140402406,100292740,Least Concern,2.905034504
Scinax arduous,Hylidae,5625206408,826784000000,823403000000,Least Concern,10.21061035
Scinax argyreornatus,Hylidae,149191000000,734345000000,570337000000,Least Concern,26.5881812
Scinax auratus,Hylidae,28704896090,4827990000000,5153380000000,Least Concern,4.144019275
Scinax blairi,Hylidae,125408000000,16738680704,18400463454,Least Concern,0.012082527
Scinax boesemani,Hylidae,1310530000000,113515000000,113656000000,Least Concern,4.016879403
Scinax boulengeri,Hylidae,75418858280,317334000000,338408000000,Least Concern,5.790586105
Scinax caldarum,Hylidae,2464322966,689641000000,689641000000,Endangered,0.258304614
Scinax caprarius,Hylidae,13621810032,27376755120,26384373244,Data Deficient,NA
Scinax cardosoi,Hylidae,67925632356,12347704276,12134819380,Least Concern,19.33468461
Scinax catharinae,Hylidae,340022000000,70730102336,65661386138,Least Concern,14.72357663
Scinax crospedospilus,Hylidae,73688479110,2098430000000,2102470000000,Least Concern,3.505113298
Scinax cruentomma,Hylidae,1375650000000,10903815048,7453434766,Least Concern,24.1304801
Scinax curicica,Hylidae,19528885228,635639138,1843446148,Least Concern,14.31870627
Scinax cuspidatus,Hylidae,168261000000,170857000000,168149000000,Least Concern,12.59513442
Scinax duartei,Hylidae,3918911822,12579242154,12579242154,Least Concern,3.326032797
Scinax elaeochroa,Hylidae,43155354280,102060000000,107476000000,Least Concern,3.446927244
Scinax eurydice,Hylidae,372944000000,616681000000,624211000000,Least Concern,21.86878758
Scinax flavoguttatus,Hylidae,62206977036,2429190000000,2462540000000,Least Concern,3.326032797
Scinax funereus,Hylidae,856536000000,27279457292,24432446276,Least Concern,2.292883169
Scinax fuscomarginatus,Hylidae,3346210000000,450009000000,519814000000,Least Concern,0.012082527
Scinax fuscovarius,Hylidae,2133950000000,1022380000000,1084660000000,Least Concern,1.86131289
Scinax garbei,Hylidae,2338630000000,7191109076,8120004600,Least Concern,6.968393438
Scinax granulatus,Hylidae,516419000000,48333000130,40514831126,Least Concern,25.00381811
Scinax hayii,Hylidae,124565000000,27316786882,26326661696,Least Concern,0.731102357
Scinax ictericus,Hylidae,404060000000,513041000000,643100000000,Least Concern,3.146464676
Scinax imbegue,Hylidae,15069659308,71976631430,75352700060,Least Concern,1.29867746
Scinax jolyi,Hylidae,9362916668,48463106830,65871019326,Endangered,7.349177081
Scinax kennedyi,Hylidae,53754629868,30585181652,29932060048,Least Concern,2.026513858
Scinax littoralis,Hylidae,13657186234,178531000000,159275000000,Least Concern,4.399292498
Scinax longilineus,Hylidae,90658703486,98240002178,92105478670,Least Concern,7.542022809
Scinax luizotavioi,Hylidae,7347458898,167069000000,172963000000,Least Concern,1.122002469
Scinax nasicus,Hylidae,1710870000000,98441711472,97928515680,Least Concern,21.06495666
Scinax nebulosus,Hylidae,4674250000000,2123043794,1209846054,Least Concern,0.362950134
Scinax obtriangulatus,Hylidae,47052909868,3589413222,4934688834,Least Concern,14.06340508
Scinax oreites,Hylidae,7714270104,635270000000,636415000000,Least Concern,3.999497763
Scinax pachycrus,Hylidae,121555000000,9281107302,148798774,Least Concern,9.168848941
Scinax pedromedinae,Hylidae,715588000000,1463350000000,1474200000000,Least Concern,6.096714061
Scinax perereca,Hylidae,276182000000,39915620274,39043785598,Least Concern,3.505113298
Scinax perpusillus,Hylidae,54377216250,20273305620,18309922386,Critically Endangered,1.982741165
Scinax proboscideus,Hylidae,130011000000,570324000000,496510000000,Least Concern,6.968393438
Scinax quinquefasciatus,Hylidae,67338111124,8204641900,5745482380,Least Concern,5.812420771
Scinax rizibilis,Hylidae,16005880702,1196675696,812026774,Least Concern,3.999497763
Scinax rostratus,Hylidae,1248300000000,17020765496,14209742878,Least Concern,15.59287749
Scinax ruber,Hylidae,5503890000000,34259897580,28076181470,Least Concern,1.286455349
Scinax similis,Hylidae,563177000000,5383800508,3590999302,Least Concern,3.49896637
Scinax squalirostris,Hylidae,1086220000000,251097000000,247553000000,Least Concern,5.247679213
Scinax staufferi,Hylidae,465615000000,224620000000,211164000000,Least Concern,21.43911062
Scinax strigilatus,Hylidae,29246097952,15057617372,13939994858,Least Concern,17.39957575
Scinax sugillatus,Hylidae,46797045142,23293867052,23653132174,Least Concern,5.790586105
Scinax trapicheiroi,Hylidae,17182340930,11738835494,12876772802,Least Concern,0.203425984
Scinax tsachila,Hylidae,42936728200,41739963708,37736295490,Least Concern,NA
Scinax tymbamirim,Hylidae,58316329508,24836587978,24160563850,Least Concern,22.1306917
Scinax uruguayus,Hylidae,53582251332,12143913034,10520689088,Least Concern,7.732834154
Scinax wandae,Hylidae,168014000000,646052000000,678323000000,Least Concern,0.258304614
Scinax x signatus,Hylidae,4030410000000,1160560000000,1167080000000,Least Concern,1.286455349
Smilisca baudinii,Hylidae,911790000000,4489086436,4570053314,Least Concern,24.51892899
Smilisca cyanosticta,Hylidae,28474371984,75748409898,36122226128,Least Concern,15.62977541
Smilisca dentata,Hylidae,815094482,237585000000,193126000000,Endangered,5.622387089
Smilisca fodiens,Hylidae,207690000000,579550000000,605467000000,Least Concern,21.08503242
Smilisca manisorum,Hylidae,13578922372,30238933728,19646283100,Least Concern,NA
Smilisca phaeota,Hylidae,303853000000,177613000000,181538000000,Least Concern,10.61209121
Smilisca puma,Hylidae,11936927896,41461503552,53745880276,Least Concern,10.61209121
Smilisca sila,Hylidae,107882000000,55522024074,52237883256,Least Concern,16.98420579
Smilisca sordida,Hylidae,42718050126,48191176236,64329473080,Least Concern,5.622387089
Sphaenorhynchus caramaschii,Hylidae,37975990758,26040298196,22233559198,Least Concern,2.41255431
Sphaenorhynchus carneus,Hylidae,1035250000000,26142644644,21511303186,Least Concern,2.259472092
Sphaenorhynchus dorisae,Hylidae,884377000000,53240310946,62251971342,Least Concern,0.388511018
Sphaenorhynchus lacteus,Hylidae,2510850000000,28275782824,28050564604,Least Concern,7.148624284
Sphaenorhynchus planicola,Hylidae,19004929376,8043021186,7320823120,Least Concern,2.41255431
Sphaenorhynchus platycephalus,Hylidae,9296713766,138705000000,142730000000,Least Concern,0.388511018
Sphaenorhynchus prasinus,Hylidae,174801000000,3211310130,3231647238,Least Concern,2.259472092
Sphaenorhynchus surdus,Hylidae,90306405908,9013258794,9013258794,Least Concern,8.257728297
Tepuihyla exophthalma,Hylidae,3807297002,1198655680,413354060,Least Concern,12.83327758
Tepuihyla tuberculosa,Hylidae,160299000000,40687830640,38765958878,Least Concern,3.613611152
Tepuihyla warreni,Hylidae,2064443744,4374917756,16099426820,Endangered,NA
Tlalocohyla godmani,Hylidae,5306929796,35965879638,29638129794,Vulnerable,18.43328378
Tlalocohyla loquax,Hylidae,345215000000,68800602616,64023709140,Least Concern,18.43328378
Tlalocohyla picta,Hylidae,270566000000,20361215782,19909268284,Least Concern,23.94390661
Tlalocohyla smithii,Hylidae,225915000000,4386270016,3624649824,Least Concern,23.94390661
Trachycephalus coriaceus,Hylidae,3667810000000,72100146606,62948456678,Least Concern,12.43463141
Trachycephalus cunauaru,Hylidae,1819650000000,12974931538,15524617120,Least Concern,0.838867455
Trachycephalus hadroceps,Hylidae,88667339496,32347571910,29786117512,Least Concern,2.791250996
Trachycephalus imitatrix,Hylidae,27425688940,6602062622,5516356560,Least Concern,1.597892335
Trachycephalus jordani,Hylidae,54005511800,30001013402,27544985322,Least Concern,2.386361572
Trachycephalus macrotis,Hylidae,10725141444,30711533930,29252575402,Least Concern,NA
Trachycephalus mesophaeus,Hylidae,208500000000,15699339820,15699448392,Least Concern,2.431218835
Trachycephalus nigromaculatus,Hylidae,293619000000,757356000000,769100000000,Least Concern,13.77310674
Trachycephalus quadrangulum,Hylidae,28320042032,64721383432,67061801802,Least Concern,NA
Trachycephalus resinifictrix,Hylidae,1320890000000,407922000000,431847000000,Least Concern,8.433545165
Trachycephalus typhonius,Hylidae,8618430000000,5620012174,7329565652,Least Concern,NA
Trachycephalus venulosus,Hylidae,7137100000000,32029861122,41818856664,Data Deficient,4.296155859
Trachycephalus vermiculatus,Hylidae,622861000000,18339457190,16512485472,Least Concern,NA
Triprion petasatus,Hylidae,136898000000,5106500000000,5254110000000,Least Concern,19.01082124
Triprion spatulatus,Hylidae,45965263140,6175555030,4850649664,Least Concern,25.4532658
Triprion spinosus,Hylidae,25486351518,37379895404,41976182972,Near Threatened,19.01082124
