Species,Family,Area Present,Area Future Optimistic,Area Future Pessimistic,IUCN category,Branch Length
Boana almendarizae,Hylidae,12981218066,52893496792,46686582622,Near Threatened,9.905858004
Boana appendiculata,Hylidae,82244782246,522995000000,370099000000,Least Concern,NA
Boana atlantica,Hylidae,32083329694,62228162130,78718056312,Least Concern,6.945835077
Boana bandeirantes,Hylidae,5781240912,34119538218,32089554834,Least Concern,5.30748428
Boana bischoffi,Hylidae,135079000000,56090577476,56174567470,Least Concern,5.348106819
Boana boans,Hylidae,4463260000000,228469000000,271178000000,Least Concern,14.02067053
Boana caingua,Hylidae,266751000000,49993376970,46870521880,Least Concern,4.802558138
Boana calcarata,Hylidae,1855370000000,89856794130,104476000000,Least Concern,9.905858004
Boana callipleura,Hylidae,13837055624,18565291616,7555102922,Least Concern,6.023366648
Boana cinerascens,Hylidae,4637300000000,190562000000,197542000000,Least Concern,17.06142488
Boana cordobae,Hylidae,17126083756,22457920074,23888612284,Least Concern,6.509340603
Boana courtoisae,Hylidae,74973580102,48038888396,40998125082,Least Concern,NA
Boana crepitans,Hylidae,569618000000,5127525688,5127525688,Least Concern,10.29443615
Boana curupi,Hylidae,45592419456,21869394716,21953095570,Least Concern,4.310872983
Boana dentei,Hylidae,99240550470,32909097634,28672056400,Least Concern,15.50982768
Boana diabolica,Hylidae,52648070226,17328622554,17734648016,Least Concern,NA
Boana faber,Hylidae,897410000000,37189199062,27331487132,Least Concern,15.6183377
Boana fasciata,Hylidae,19630379160,4098983816,4952949852,Least Concern,1.01491962
Boana geographica,Hylidae,4547550000000,52137429514,55834164828,Least Concern,3.004943442
Boana heilprini,Hylidae,28208760406,59835493126,56411044768,Vulnerable,22.89578053
Boana joaquini,Hylidae,7938551058,15452359776,17052496526,Least Concern,6.935667642
Boana lanciformis,Hylidae,3721140000000,14412118094,12844983222,Least Concern,13.10790586
Boana lemai,Hylidae,34777357434,63098545162,63502555420,Least Concern,8.22213135
Boana leptolineata,Hylidae,91046632446,180093000000,158759000000,Least Concern,5.51253773
Boana lundii,Hylidae,328908000000,234296000000,240226000000,Least Concern,5.678698381
Boana maculateralis,Hylidae,59519888774,469992000000,377530000000,Least Concern,6.339881504
Boana marginata,Hylidae,11914633860,10225222536,10519022112,Least Concern,5.348106819
Boana microderma,Hylidae,980377000000,0,0,Least Concern,14.33673837
Boana multifasciata,Hylidae,33768485490,33750908448,34497407524,Least Concern,6.315312517
Boana nigra,Hylidae,8351471410,18825797150,20257471062,Vulnerable,NA
Boana nympha,Hylidae,289990000000,19111694594,14281014226,Least Concern,3.296020276
Boana ornatissima,Hylidae,411567000000,11652672452,11865631424,Least Concern,18.25928309
Boana pardalis,Hylidae,187380000000,17972583432,17972583432,Least Concern,10.11065047
Boana pellucens,Hylidae,61480357818,6443484784,6218677672,Least Concern,5.294643104
Boana picturata,Hylidae,60892445822,26934385388,22886252766,Least Concern,1.43210763
